criterion,identifier,title,title_url,detail_url,authors,snippet,result_year,origin_name,origin_url
title,oai:publicacoes.bad.pt/revistas:article/354,Bibliotecas Digitais para as Humanidades: novos desafios e oportunidades,https://publicacoes.bad.pt/revistas/index.php/congressosbad/article/view/354,https://www.rcaap.pt/detail.jsp?id=oai:publicacoes.bad.pt/revistas:article/354,"Guerreiro, Dália Maria; Calixto, José António; Borbinha, José","Este artigo apresenta uma revisão preliminar da literatura sobre digital humanities (DH), entendida como uma área que abrange as humanidades, as ciências de computação e as ciências da informação e da documentação. É uma área de investigação que agrega várias categorias institucionais, nomeadamente, universidades e organizações de profissionais. As atuais linhas de investigação procuram dar visibilidade à infor...",,"Actas do Congresso Nacional de Bibliotecários, Arquivistas e Documentalistas",https://publicacoes.bad.pt/revistas/index.php/congressosbad
title,oai:estudogeral.uc.pt:10316/83568,Humanidades Digitais: As Humanidades na Era da Web 2.0,https://hdl.handle.net/10316/83568,https://www.rcaap.pt/detail.jsp?id=oai:estudogeral.uc.pt:10316/83568,"Portela, Manuel",,,Estudo Geral - Universidade de Coimbra,http://estudogeral.sib.uc.pt
title,oai:dspace.uevora.pt:10174/8809,Bibliotecas Digitais para as Humanidades: novos desafios e oportunidades,http://hdl.handle.net/10174/8809,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/8809,"Guerreiro, Dália; Calixto, José António; Borbinha, José Luís","Este artigo apresenta uma revisão preliminar da literatura sobre digital humanities (DH), entendida como uma área que abrange as humanidades, as ciências de computação e as ciências da informação e da documentação. É uma área de investigação que agrega várias categorias institucionais, nomeadamente, universidades e organizações de profissionais. As atuais linhas de investigação procuram dar visibilidade à infor...",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
title,oai:publicacoes.bad.pt/revistas:article/1060,Humanidades Digitais: Novos desafios e oportunidades,https://doi.org/10.48798/cadernosbad.1060,https://www.rcaap.pt/detail.jsp?id=oai:publicacoes.bad.pt/revistas:article/1060,"Guerreiro, Dália Maria; Borbinha, José Luís","A área de investigação das Humanidades Digitais agrega as ciências sociais e humanas, as ciências de computação e as ciências da informação e documentação. Apesar de se ter afirmado recentemente, é extremamente dinâmica, com um número crescente de organizações associadas, eventos promovidos e de jornais editados. As Humanidades Digitais exibem simultaneamente, para cada disciplina, reptos próprios e grandes que...",,Cadernos BAD,http://www.bad.pt/publicacoes/index.php/cadernos
title,002688943,O Corpus Tycho Brahe: contribuições para as humanidades digitais no Brasil,https://doi.org/http://dx.doi.org/10.11606/issn.2176-9419.v16ispep53-93,https://www.rcaap.pt/detail.jsp?id=002688943,"Sousa, Maria Clara Paixão de",,,Oasisbr,https://oasisbr.ibict.br/
title,oai:dspace.uevora.pt:10174/11451,Património Textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/11451,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/11451,"Gonçalves, Maria Filomena; Banza, Ana Paula","Com este livro, intitulado Património Textual e Humanidades Digitais – Da antiga à nova Filologia, pretende-se, por um lado, recuperar e valorizar não só fontes da memória textual do português clássico que ou são desconhecidas ou têm andado esquecidas – vejam-se os textos de Arnaldo Espírito Santo e João Paulo Silvestre e, ainda, o de Maria Filomena Gonçalves e Ana Paula Banza – mas também demonstrar o interess...",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
title,oai:dspace.uevora.pt:10174/10361,In Limine - Património textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/10361,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/10361,"Gonçalves, Maria Filomena; Banza, Ana Paula","Neste texto de introdução à colectãnea ""Património Textual e Humanidades Digitais: da antiga à nova Filologia"", além de apresentarem as contribuições nela reunidas, as coordenadoras do volume traçam um breve ""estado da arte"" das relações entre a Filologia e as Humanidades Digitais.",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
title,oai:dspace.uevora.pt:10174/10468,Património Textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/10468,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/10468,"Gonçalves, Maria Filomena; Banza, Ana Paula","Este livro reúne textos de especialistas em Filologia, História do Livro, Computação e Humanidades Digitais com o objectivo de trazer novas contribuições acerca das relações, cada vez mais estreitas, entre a Filologia e o meio digital.",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
title,oai:dspace.uevora.pt:10174/11428,Humanidades Digitais: Novos desafios e oportunidades,http://hdl.handle.net/10174/11428,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/11428,"Guerreiro, Dália; Borbinha, José Luís","A área de investigação das Humanidades Digitais agrega as ciências sociais e humanas, as ciências de computação e as ciências da informação e documentação. Apesar de se ter afirmado recentemente, é extremamente dinâmica, com um número crescente de organizações associadas, eventos promovidos e de jornais editados. As Humanidades Digitais exibem simultaneamente, para cada disciplina, reptos próprios e grandes que...",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
title,oai:dspace.uevora.pt:10174/12155,Humanidades Digitais: novos desafios e oportunidades,http://hdl.handle.net/10174/12155,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/12155,"Guerreiro, Dália; Borbinha, José Luís","As Humanidades Digitais são uma área do conhecimento dinâmica e interdisciplinar, assente na conexão e articulação de domínios do conhecimento com diferentes metodologias de investigação. No âmbito das Humanidades Digitais, têm particular relevância as bibliotecas digitais construídas para os investigadores. Atualmente, existem dois tipos de bibliotecas digitais, as que apresentam o acervo em modo de imagem e a...",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
abstract,oai:recil.ulusofona.pt:10437/2688,"Pequenas deficiências, deficientes profundos",http://hdl.handle.net/10437/2688,https://www.rcaap.pt/detail.jsp?id=oai:recil.ulusofona.pt:10437/2688,"Carvalho, Jorge","Neste artigo pretende-se, em primeiro lugar, identificar pequenas deficiências que se manifestam em todos nós, e em particular nos mais velhos, na utilização de objectos de uso comum, assim como as deficiências desses mesmos objectos com os quais convivemos no nosso dia-a-dia (registos obtidos em viagem). Pretende-se igualmente analisar projectos de investigação em Design Inclusivo desen - volvidos no âmbito do...",,ReCiL - Repositório Científico Lusófona,https://recil.ulusofona.pt/
abstract,oai:run.unl.pt:10362/2499,"Direito de Autor, intimidade privada e ambiente digital: reflexões sobre a cópi...",http://hdl.handle.net/10362/2499,https://www.rcaap.pt/detail.jsp?id=oai:run.unl.pt:10362/2499,"Trabuco, Cláudia","Araucaria. Revista Iberoamericana de Filosofia, Política y Humanidades - Año 9, Nº 18, Segundo semestre de 2007; O presente texto analisa o limite estabelecido na maioria das legislações autorais ao direito de reprodução que dispensa do consentimento do titular do direito de autor as reproduções para uso privado. Este limite aparece muitas vezes associado a um direito dos titulares de direitos a uma compensação...",,Repositório Institucional da UNL,https://run.unl.pt
abstract,oai:repositorioaberto.uab.pt:10400.2/7763,Emissão dia 15 de maio de 2011,http://hdl.handle.net/10400.2/7763,https://www.rcaap.pt/detail.jsp?id=oai:repositorioaberto.uab.pt:10400.2/7763,Universidade Aberta,"Projeto Letras Digitais, na Universidade Aberta (UAb): Entrevista ao professor Carlos Carreto, diretor do Departamento de Humanidades (DH) da Universidade Aberta (UAb). Monumentos Naturais de Portugal: Excerto do videograma “Monumentos Naturais de Portugal”, produzido pela Universidade Aberta, em 2010; Entrevista a Vanda Santos, investigadora e paleontóloga e a Pedro Pereira, docente da Universidade Aberta, sob...",,Repositório Aberto da Universidade Aberta,https://repositorioaberto.uab.pt/
abstract,oai:ojs.revistas.ucp.pt:article/2634,"Berry, D. M. (Ed.). (2012). Understanding Digital Humanities. Houndmills Basing...",https://doi.org/10.34632/gaudiumsciendi.2013.2634,https://www.rcaap.pt/detail.jsp?id=oai:ojs.revistas.ucp.pt:article/2634,"Guerreiro, Dália","The critical review of the work Understanding digital humanities, edited by David M. Berry, in 2012, begins with a brief definition of digital humanities in order to approach its content and the various contributions that integrate this volume. Written by the most trusted and recognized authorities in this field, the articles are developed around the 'computational turn' and the paradigm shift in the acquisitio...",,Gaudium Sciendi,https://revistas.ucp.pt/index.php/gaudiumsciendi/
abstract,oai:publicacoes.bad.pt/revistas:article/1060,Humanidades Digitais: Novos desafios e oportunidades,https://doi.org/10.48798/cadernosbad.1060,https://www.rcaap.pt/detail.jsp?id=oai:publicacoes.bad.pt/revistas:article/1060,"Guerreiro, Dália Maria; Borbinha, José Luís","A área de investigação das Humanidades Digitais agrega as ciências sociais e humanas, as ciências de computação e as ciências da informação e documentação. Apesar de se ter afirmado recentemente, é extremamente dinâmica, com um número crescente de organizações associadas, eventos promovidos e de jornais editados. As Humanidades Digitais exibem simultaneamente, para cada disciplina, reptos próprios e grandes que...",,Cadernos BAD,http://www.bad.pt/publicacoes/index.php/cadernos
abstract,oai:repositorium.uminho.pt:1822/30070,Aplicação e uso de tecnologias digitais pelos professores do ensino superior no...,https://hdl.handle.net/1822/30070,https://www.rcaap.pt/detail.jsp?id=oai:repositorium.uminho.pt:1822/30070,"Silva, Bento Duarte; Araújo, Alexandra Maria Dantas de Castro; Vendramini, Claudette Maria; Martins, Ronei Ximenes; Piovezan, Nayane Martoni","No quadro de uma investigação sobre o desempenho em tecnologias digitais por parte de professores universitários do Brasil e de Portugal nas suas atividades docentes quotidianas, este artigo descreve as suas competências e níveis de utilização de tais recursos. Os participantes são na sua maioria do sexo feminino, tendo como nível predominante de formação o mestrado e o doutoramento, sendo a maior parte da área...",,RepositóriUM - Universidade do Minho,https://repositorium.uminho.pt
abstract,oai:dspace.uevora.pt:10174/11451,Património Textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/11451,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/11451,"Gonçalves, Maria Filomena; Banza, Ana Paula","Com este livro, intitulado Património Textual e Humanidades Digitais – Da antiga à nova Filologia, pretende-se, por um lado, recuperar e valorizar não só fontes da memória textual do português clássico que ou são desconhecidas ou têm andado esquecidas – vejam-se os textos de Arnaldo Espírito Santo e João Paulo Silvestre e, ainda, o de Maria Filomena Gonçalves e Ana Paula Banza – mas também demonstrar o interess...",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
abstract,oai:dspace.uevora.pt:10174/10361,In Limine - Património textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/10361,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/10361,"Gonçalves, Maria Filomena; Banza, Ana Paula","Neste texto de introdução à colectãnea ""Património Textual e Humanidades Digitais: da antiga à nova Filologia"", além de apresentarem as contribuições nela reunidas, as coordenadoras do volume traçam um breve ""estado da arte"" das relações entre a Filologia e as Humanidades Digitais.",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
abstract,oai:dspace.uevora.pt:10174/10468,Património Textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/10468,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/10468,"Gonçalves, Maria Filomena; Banza, Ana Paula","Este livro reúne textos de especialistas em Filologia, História do Livro, Computação e Humanidades Digitais com o objectivo de trazer novas contribuições acerca das relações, cada vez mais estreitas, entre a Filologia e o meio digital.",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
abstract,oai:dspace.uevora.pt:10174/11428,Humanidades Digitais: Novos desafios e oportunidades,http://hdl.handle.net/10174/11428,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/11428,"Guerreiro, Dália; Borbinha, José Luís","A área de investigação das Humanidades Digitais agrega as ciências sociais e humanas, as ciências de computação e as ciências da informação e documentação. Apesar de se ter afirmado recentemente, é extremamente dinâmica, com um número crescente de organizações associadas, eventos promovidos e de jornais editados. As Humanidades Digitais exibem simultaneamente, para cada disciplina, reptos próprios e grandes que...",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
keywords,oai:ojs.revistas.rcaap.pt:article/12518,Sobre teatro italiano na rede,https://doi.org/10.51427/cet.sdc.2007.0011,https://www.rcaap.pt/detail.jsp?id=oai:ojs.revistas.rcaap.pt:article/12518,"Almeida, Maria João","Apresentação, considerações e indicações sobre três sítios que divulgam o teatro italiano e promovem a investigação: &lt;http://www.capitalespettacolo.it&gt; (Fondazione Mantova Capitale Europea dello Spettacolo), &lt;http://www.buma.it/&gt; (Museo virtualedel Burattino e della Marionetta), &lt;http://www.carlogoldoni.it&gt;(Carlo Goldoni. Drammi per musica).",,Revista Sinais de Cena,https://revistas.rcaap.pt/sdc/index
keywords,oai:estudogeral.uc.pt:10316/30015,Digital History in Portugal: a survey,https://hdl.handle.net/10316/30015,https://www.rcaap.pt/detail.jsp?id=oai:estudogeral.uc.pt:10316/30015,"Guardado, Cristina; Borges, Maria Manuel","The emergence of concepts like “digital humanities” and “digital history” shows how digital technology is becoming increasingly important to the humanities and corresponding disciplines. This study is a first look into digital history in Portugal. Using information available on the Web, it is possible to see that historians are using more and more digital tools to complete and communicate their work as well as ...",,Estudo Geral - Universidade de Coimbra,http://estudogeral.sib.uc.pt
keywords,oai:estudogeral.uc.pt:10316/83568,Humanidades Digitais: As Humanidades na Era da Web 2.0,https://hdl.handle.net/10316/83568,https://www.rcaap.pt/detail.jsp?id=oai:estudogeral.uc.pt:10316/83568,"Portela, Manuel",,,Estudo Geral - Universidade de Coimbra,http://estudogeral.sib.uc.pt
keywords,oai:estudogeral.uc.pt:10316/29992,A publicação historiográfica em Portugal: mudanças e permanências.,https://hdl.handle.net/10316/29992,https://www.rcaap.pt/detail.jsp?id=oai:estudogeral.uc.pt:10316/29992,"Guardado, Cristina; Borges, Maria Manuel",,,Estudo Geral - Universidade de Coimbra,http://estudogeral.sib.uc.pt
keywords,oai:estudogeral.uc.pt:10316/45307,"Projeto ""O arquivo do romanceiro português da tradição oral moderna (1828-2010)...",https://hdl.handle.net/10316/45307,https://www.rcaap.pt/detail.jsp?id=oai:estudogeral.uc.pt:10316/45307,"Boto, Sandra; Ferré, Pere; Tavares, Mirian","O Romanceiro é um género poético tradicional que circula desde os finais da Idade Média na memória dos povos de expressão portuguesa, galega, castelhana e catalã, difundindo-se desde então oralmente de geração em geração. Trata-se, portanto, de um património imaterial de uma vitalidade excecional e de uma riqueza ímpar que importa preservar. O presente projeto, acolhido pela Fundação Manuel Viegas Guerreiro e p...",,Estudo Geral - Universidade de Coimbra,http://estudogeral.sib.uc.pt
keywords,oai:dspace.uevora.pt:10174/11451,Património Textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/11451,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/11451,"Gonçalves, Maria Filomena; Banza, Ana Paula","Com este livro, intitulado Património Textual e Humanidades Digitais – Da antiga à nova Filologia, pretende-se, por um lado, recuperar e valorizar não só fontes da memória textual do português clássico que ou são desconhecidas ou têm andado esquecidas – vejam-se os textos de Arnaldo Espírito Santo e João Paulo Silvestre e, ainda, o de Maria Filomena Gonçalves e Ana Paula Banza – mas também demonstrar o interess...",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
keywords,oai:dspace.uevora.pt:10174/10542,DO ARQUIVO HISTÓRICO-SOCIAL AO PROJECTO MOSCA,http://hdl.handle.net/10174/10542,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/10542,"Freire, João; Guimarães, Paulo Eduardo","O Arquivo Histónco-Social (AHS) foi constituído no final da década de 70 no âmbito do Centro de Estudos Libertãnos (CEL. em Lisboa) por iniciativa de pessoas como Emídio Santana, Moisés Silva Ramos. Lígia de Oliveira, Francisco Quintal. Sebastião de Almeida. João Freire e outros, tendo reunido espólios de antigos militantes sindicalistas e anarquistas, bem como das suas organizações especificas (grupos acratas....",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
keywords,oai:dspace.uevora.pt:10174/10361,In Limine - Património textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/10361,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/10361,"Gonçalves, Maria Filomena; Banza, Ana Paula","Neste texto de introdução à colectãnea ""Património Textual e Humanidades Digitais: da antiga à nova Filologia"", além de apresentarem as contribuições nela reunidas, as coordenadoras do volume traçam um breve ""estado da arte"" das relações entre a Filologia e as Humanidades Digitais.",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
keywords,oai:dspace.uevora.pt:10174/10468,Património Textual e Humanidades Digitais: da antiga à nova Filologia,http://hdl.handle.net/10174/10468,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/10468,"Gonçalves, Maria Filomena; Banza, Ana Paula","Este livro reúne textos de especialistas em Filologia, História do Livro, Computação e Humanidades Digitais com o objectivo de trazer novas contribuições acerca das relações, cada vez mais estreitas, entre a Filologia e o meio digital.",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
keywords,oai:dspace.uevora.pt:10174/11428,Humanidades Digitais: Novos desafios e oportunidades,http://hdl.handle.net/10174/11428,https://www.rcaap.pt/detail.jsp?id=oai:dspace.uevora.pt:10174/11428,"Guerreiro, Dália; Borbinha, José Luís","A área de investigação das Humanidades Digitais agrega as ciências sociais e humanas, as ciências de computação e as ciências da informação e documentação. Apesar de se ter afirmado recentemente, é extremamente dinâmica, com um número crescente de organizações associadas, eventos promovidos e de jornais editados. As Humanidades Digitais exibem simultaneamente, para cada disciplina, reptos próprios e grandes que...",,Repositório Científico da Universidade de Évora,https://dspace.uevora.pt/rdpc
